subj,word,sex,language,rating
17,2,f,ger,1
17,3,f,ger,-3
17,4,f,ger,-2
17,5,m,ger,-2
17,6,f,ger,-1
17,7,m,ger,5
17,8,m,ger,-9
17,9,f,ger,8
17,10,m,ger,9
17,11,m,ger,-7
17,12,f,ger,1
17,13,f,ger,3
17,14,m,ger,-3
17,15,f,ger,3
17,16,m,ger,1
17,17,m,ger,-7
17,18,m,ger,2
17,19,m,ger,-3
17,20,m,ger,1
17,21,f,ger,-11
17,22,m,ger,-3
17,23,f,ger,1
17,24,m,ger,6
18,1,m,ger,-1
18,2,f,ger,1
18,3,f,ger,-2
18,4,f,ger,-3
18,5,m,ger,-3
18,6,f,ger,-1
18,7,m,ger,-5
18,8,m,ger,-13
18,9,f,ger,-7
18,10,m,ger,7
18,11,m,ger,-1
18,12,f,ger,7
18,13,f,ger,-3
18,14,m,ger,2
18,15,f,ger,1
18,16,m,ger,-1
18,17,m,ger,-9
18,18,m,ger,11
18,19,m,ger,-11
18,20,m,ger,-9
18,21,f,ger,-5
18,22,m,ger,-4
18,23,f,ger,7
18,24,m,ger,-5
19,1,m,ger,-5
19,2,f,ger,7
19,3,f,ger,-11
19,4,f,ger,-1
19,5,m,ger,-1
19,6,f,ger,-3
19,7,m,ger,-3
19,8,m,ger,-1
19,9,f,ger,3
19,10,m,ger,-2
19,11,m,ger,-8
19,12,f,ger,-1
19,13,f,ger,-3
19,14,m,ger,6
19,15,f,ger,3
19,16,m,ger,-7
19,17,m,ger,-3
19,18,m,ger,9
19,19,m,ger,-3
19,20,m,ger,1
19,21,f,ger,-9
19,22,m,ger,-1
19,23,f,ger,7
19,24,m,ger,5
20,1,m,ger,-7
20,2,f,ger,-1
20,3,f,ger,-3
20,4,f,ger,4
20,5,m,ger,7
20,6,f,ger,-2
20,7,m,ger,1
20,8,m,ger,-5
20,9,f,ger,11
20,10,m,ger,-1
20,11,m,ger,-5
20,12,f,ger,-1
20,13,f,ger,-1
20,14,m,ger,3
20,15,f,ger,7
20,16,m,ger,-7
20,17,m,ger,-9
20,18,m,ger,9
20,19,m,ger,-5
20,20,m,ger,-7
20,21,f,ger,2
20,22,m,ger,9
20,23,f,ger,7
20,24,m,ger,-3
21,1,m,ger,3
21,2,f,ger,-1
21,3,f,ger,-7
21,4,f,ger,1
21,5,m,ger,0
21,6,f,ger,-3
21,7,m,ger,7
21,8,m,ger,-2
21,9,f,ger,5
21,10,m,ger,-3
21,11,m,ger,3
21,12,f,ger,9
21,13,f,ger,5
21,14,m,ger,-1
21,15,f,ger,13
21,16,m,ger,-7
21,17,m,ger,-11
21,18,m,ger,9
21,19,m,ger,-7
21,20,m,ger,5
21,21,f,ger,-7
21,22,m,ger,7
21,23,f,ger,5
21,24,m,ger,-5
22,1,m,ger,1
22,2,f,ger,-1
22,3,f,ger,-3
22,4,f,ger,3
22,5,m,ger,-5
22,6,f,ger,11
22,7,m,ger,5
22,8,m,ger,-1
22,9,f,ger,-1
22,10,m,ger,7
22,11,m,ger,-7
22,12,f,ger,-3
22,13,f,ger,-3
22,14,m,ger,5
22,15,f,ger,-3
22,16,m,ger,-7
22,17,m,ger,5
22,18,m,ger,5
22,19,m,ger,-5
22,20,m,ger,3
22,21,f,ger,5
22,22,m,ger,-1
