subj,word,assoc_i,sex_port,sex_ger,sex,language,rating
4,13,2,m,f,m,por,-3
4,13,3,m,f,m,por,1
4,14,1,f,m,f,por,-5
4,14,2,f,m,f,por,3
4,14,3,f,m,f,por,1
4,15,1,m,f,m,por,-5
4,15,2,m,f,m,por,-3
4,15,3,m,f,m,por,3
4,16,1,f,m,f,por,-5
4,16,2,f,m,f,por,0
4,16,3,f,m,f,por,-1
4,17,1,f,m,f,por,5
4,17,2,f,m,f,por,-5
4,17,3,f,m,f,por,5
4,18,1,f,m,f,por,5
4,18,2,f,m,f,por,5
4,18,3,f,m,f,por,3
4,19,1,f,m,f,por,3
4,19,2,f,m,f,por,-1
4,19,3,f,m,f,por,1
4,20,1,f,m,f,por,-1
4,20,2,f,m,f,por,1
4,20,3,f,m,f,por,3
4,21,1,m,f,m,por,-3
4,21,2,m,f,m,por,-5
4,21,3,m,f,m,por,-3
4,22,1,f,m,f,por,-5
4,22,2,f,m,f,por,5
4,22,3,f,m,f,por,3
4,23,1,m,f,m,por,3
4,23,2,m,f,m,por,-1
4,23,3,m,f,m,por,5
4,24,1,f,m,f,por,1
4,24,2,f,m,f,por,-5
4,24,3,f,m,f,por,1
5,1,1,f,m,f,por,0
5,1,2,f,m,f,por,-5
5,1,3,f,m,f,por,5
5,2,1,m,f,m,por,1
5,2,2,m,f,m,por,-3
5,2,3,m,f,m,por,-1
5,3,1,m,f,m,por,-5
5,3,2,m,f,m,por,1
5,3,3,m,f,m,por,-1
5,4,1,m,f,m,por,5
5,4,2,m,f,m,por,-1
5,4,3,m,f,m,por,-5
5,5,1,f,m,f,por,5
5,5,2,f,m,f,por,1
5,5,3,f,m,f,por,1
5,6,1,m,f,m,por,-1
5,6,2,m,f,m,por,-3
5,6,3,m,f,m,por,-3
5,7,1,f,m,f,por,3
5,7,2,f,m,f,por,5
5,7,3,f,m,f,por,-5
5,8,1,f,m,f,por,3
5,8,2,f,m,f,por,3
5,8,3,f,m,f,por,-3
5,9,1,m,f,m,por,3
5,9,2,m,f,m,por,1
5,9,3,m,f,m,por,-3
5,10,1,f,m,f,por,-1
5,10,2,f,m,f,por,1
